Title,Venue,Year published,Type of Paper,SE Problem,Data-Scale,SE Data,[data] Code,[data] Repo Metadata,[data] I/O Examples,Data Preprocessing,[pre] Tokenization,[pre] Neural Embedding,[pre] I/O Vectors,Learning Type,Architectures,Tuning,Learning Algorithm,Loss Function,Metrics,[metric] Coverage & Proportions,[metric] Ranking,[metric] Alignment Score,[metric] Approx Error,[metric] ROC or AUC,[metric] Accuracy,[metric] Precision,[metric] Recall,[metric] F1,Novel Automation,Exploratory Data Analysis,Occam's Razor,Missing Learning Elements,Combat Overfitting,[over] hyper-tuning,[over] custom,[over] Data Augmentation,[over] Data Balancing,[over] Cross-Validation,[over] Early Stop,[over] Data Cleaning,[over] Dropout,[over] L# Regularization,[over] Large Dataset,Replicability,Reproducible,[repro] Learning Algorithm,[repro] Loss Function,[repro] Hyperparameters,[repro] TVT Details Missing,[repro] Embedding Details,[repro] Regularization ,[repro] EDA,[repro] Extraction Details,[repro] Missing Filtering Details,[repro] No Repo
A convolutional attention network for extreme summarization of source code,ICML,2016,Technical,Source Code Summarization,Tens,Code,Snippets,non-RepoMeta,non-I/O,Tokenization,Raw Code,non-NeuralEmb,non-IOVect,supervised,CNN,Bayesian Opt,Gradient Descent,Max Log Likelihood,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,non-Prec,non-Recall,F1,Increased Automation / Efficiency,no-EDA,Razor,no-miss-learning,not-discussed,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,repro-regularization,repro-EDA,non-ExDe,repro-Filter,non-NoRepo
A deep learning approach to identifying source code in images and video,MSR,2018,Technical,Image2Structure,Thousands,Vision,non-Code,non-RepoMeta,non-I/O,Video Frame,non-Tokenization,non-NeuralEmb,non-IOVect,supervised,CNN,No Tunning,Gradient Descent,Max Log Likelihood,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,Prec,Recall,non-F1,Solving Previously Unsolvable Problems,EDA,no-Razor,no-miss-learning,over-dual,non-o-tuning,over-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,over-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,NoRepo
A deep learning model for estimating story points,TSE,2018,Journal,non-Code Related,Thousands,Repo Metadata,non-Code,Issues,non-I/O,Neural Embedding,non-Tokenization,Structure2Vec,non-IOVect,supervised,RNN,Grid Search,Gradient Descent,Negative Log Likelihood,Dual-metric,non-cover,non-rank,non-alignment,approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Replacing Expertise,EDA,Razor,no-miss-learning,over-dual,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,early-stop,non-o-cleaning,over-dropout,non-regularization,non-o-large,replicable,Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,non-NoRepo
A Neural Framework for Retrieval and Summarization of Source Code,ASE,2018,Short Paper,Source Code Retrieval & Traceability,Thousands,Natural,Snippets,non-RepoMeta,non-I/O,Tokenization,Raw Code,non-NeuralEmb,non-IOVect,supervised,Autoencoder,Grid Search,VAE,Max Log Likelihood,Dual-metric,non-cover,MRR,alignment,non-approx,non-RocOrAUC,non-Acc,non-Prec,non-Recall,non-F1,Increased Performance Over Predeccesor,no-EDA,Razor,no-miss-learning,over-trial,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,early-stop,non-o-cleaning,over-dropout,over-regularization,non-o-large,non-replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,repro-EDA,non-ExDe,non-Filter,NoRepo
An Empirical Investigation into Learning Bug-fixing Patches in the Wild via Neural Machine Translation,ASE,2018,Short Paper,Program Repair,Thousands,Code,Methods,non-RepoMeta,non-I/O,Tokenization,Abstracted-AST-CFG,non-NeuralEmb,non-IOVect,supervised,Encoder-Decoder,Grid Search,Gradient Descent,Negative Log Likelihood,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,Prec,non-Recall,non-F1,Replacing Expertise,EDA,Razor,no-miss-learning,over-trial,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,early-stop,non-o-cleaning,over-dropout,non-regularization,over-large,replicable,Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,non-NoRepo
Applying Deep Learning Based Automatic Bug Triager to Industrial Projects,FSE,2017,Short Paper,Bug-Fixing Process,Thousands,Bug Report,non-Code,non-RepoMeta,non-I/O,Neural Embedding,non-Tokenization,Structure2Vec,non-IOVect,supervised,CNN,No Tunning,Gradient Descent,N/A-Loss,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Increased Automation / Efficiency,no-EDA,no-Razor,miss-learning,over-dual,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,over-dropout,over-regularization,non-o-large,non-replicable,non-Reprod,non-LearningAlg,repro-loss,Hyper,tvt,non-repro-embed,non-repro-regul,repro-EDA,ExDe,repro-Filter,NoRepo
Are deep neural networks the best choice for modeling source code?,FSE,2017,Journal,Souce Code Generation,Thousands,Code,Snippets,non-RepoMeta,non-I/O,Tokenization,Raw Code,non-NeuralEmb,non-IOVect,unsupervised,RNN,Grid Search,Gradient Descent,Cross-entropy,Dual-metric,non-cover,MRR,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Increased Understanding of the Topic,EDA,Razor,miss-learning,over-dual,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,early-stop,non-o-cleaning,over-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,LearningAlg,repro-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,ExDe,repro-Filter,NoRepo
Automatic feature learning for predicting vulnerable software components,TSE,2018,Journal,Software Security,Thousands,Code,Class,non-RepoMeta,non-I/O,Lookup Tables,Abstracted-AST-CFG,non-NeuralEmb,non-IOVect,supervised,RNN,Grid Search,Gradient Descent,Negative Log Likelihood,Classification,non-cover,non-rank,non-alignment,non-approx,RocOrAUC,non-Acc,Prec,Recall,F1,Advanced Architecture / Novelty,EDA,Razor,no-miss-learning,dropout,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,over-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,NoRepo
Automatic Program Synthesis of Long Programs with a Learned Garbage Collector,NIPS,2018,Journal,Program Synthesis,Thousands,I/O,non-Code,non-RepoMeta,I/O,One Hot,non-Tokenization,non-NeuralEmb,non-IOVect,supervised,FNN,No Tunning,Gradient Descent,Cross-entropy,Distance-Based,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Increased Performance Over Predeccesor,EDA,no-Razor,no-miss-learning,cleaning,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,over-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,non-LearningAlg,non-loss,Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,non-NoRepo
Automatically generating commit messages from diffs using neural machine translation,ASE,2017,Journal,non-Code Related,Thousands,Natural,non-Code,Diffs,non-I/O,Neural Embedding,non-Tokenization,RNN,non-IOVect,supervised,Encoder-Decoder,No Tunning,Gradient Descent,Cross-entropy,Distance-Based,non-cover,non-rank,alignment,non-approx,non-RocOrAUC,non-Acc,non-Prec,non-Recall,non-F1,Increased Automation / Efficiency,EDA,no-Razor,no-miss-learning,ensemble,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,early-stop,over-cleaning,non-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,NoRepo
