Title,Venue,Year published,Type of Paper,Other Metrics,MRR,ROC or AUC,BLEU Score,Accuracy,Precision,Recall,F1 Measure,Data-Scale,Tuning,Opt. Method,Learning-Algorithm,Loss Function,SE Task,Other SE Data,Repo Metadata,I/O Examples,Vision,Source Code,Natural Language,Data Preprocessing,Learning Type,Architectures,Automation Impact,Reproducible,Extraction Details,Preprocessing Details,Learning Algorithm,No Repo,Hyperparameters,Filtering Details
Combining Deep Learning with Information Retrieval to Localize Buggy Files for Bug Reports,ASE,2015,Short Paper,N/A-metrics,mrr,non-RocOrAUC,non-BLEU,non-Acc,Prec,non-Recall,non-F1,Tens,N/A-Tuning,N/A-OptMethod,N/A-Learning,N/A-Loss,Bug-Fixing & Retrieval-Trace,Bug Report,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,Neural Embedding,unsupervised,RBM,Increased Automation / Efficiency,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,non-NoRepo,Hyper,Filter
Suggesting Accurate Method and Class Names,FSE,2015,Technical,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,non-Acc,Prec,Recall,F1,Hundreds,Opt. Method,Bayesian Opt,Gradient Descent,NCE,Code Comprenhension,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,Tokenization,supervised,Log-Bilinear,Increased Automation / Efficiency,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,NoRepo,non-Hyper,non-Filter
Neural programmer-interpreters,ICLR,2015,Technical,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Tens,N/A-Tuning,N/A-OptMethod,Gradient Ascent,Max Log Likelihood,Program Synthesis,Execution Traces,non-RepoMeta,non-I/O,non-Vision,non-Code,non-Natural,Execution Trace,supervised,RNN,Solving Previously Unsolvable Problems,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,non-NoRepo,non-Hyper,Filter
Learning program embeddings to propagate feedback on student code,ICML,2015,Technical,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,Opt. Method,Random Search,Gradient Descent,Cross-entropy,Code Comprenhension,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,Execution Trace,supervised,Encoder-Decoder,Replacing Expertise,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,NoRepo,non-Hyper,Filter
Deep Representations for Software Engineering,ICSE,2015,Abstract,metrics,non-mrr,non-RocOrAUC,non-BLEU,non-Acc,non-Prec,non-Recall,non-F1,N/A,N/A-Tuning,N/A-OptMethod,N/A-Learning,N/A-Loss,Source Code Generation,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,Natural,Tokenization,supervised,RNN,Advanced Architecture / Novelty,non-Reprod,non-ExDe,non-Prep,LearningAlg,NoRepo,Hyper,Filter
Exploring the use of deep learning for feature location,ICSME,2015,Short Paper,N/A-metrics,mrr,non-RocOrAUC,non-BLEU,non-Acc,non-Prec,non-Recall,non-F1,Tens,N/A-Tuning,N/A-OptMethod,Gradient Descent,N/A-Loss,Feature Location,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,Natural,Tokenization,supervised,FNN,Advanced Architecture / Novelty,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,NoRepo,Hyper,non-Filter
Toward Deep Learning Software Repositories,MSR,2015,Technical,metrics,non-mrr,non-RocOrAUC,non-BLEU,non-Acc,non-Prec,non-Recall,non-F1,Hundreds,Opt. Method,Grid Search,Gradient Descent,Negative Log Likelihood,Source Code Generation,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,Neural Embedding,supervised,RNN,Advanced Architecture / Novelty,non-Reprod,non-ExDe,Prep,non-LearningAlg,NoRepo,non-Hyper,non-Filter
Deep learning code fragments for code clone detection,ASE,2016,Technical,metrics,non-mrr,non-RocOrAUC,non-BLEU,non-Acc,Prec,non-Recall,non-F1,Hundreds,Opt. Method,Random Search,Gradient Descent,N/A-Loss,Clone Detection,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,One Hot,supervised,Autoencoder,Replacing Expertise,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,NoRepo,non-Hyper,non-Filter
Learning a dual-language vector space for domain-specific cross-lingual question retrieval,ASE,2016,Technical,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,Opt. Method,Grid Search,Gradient Descent,MSE,Forum Analysis,N/A-Data,non-RepoMeta,non-I/O,non-Vision,non-Code,Natural,Neural Embedding,supervised,CNN,Increased Performance Over Predeccesor,non-Reprod,non-ExDe,non-Prep,LearningAlg,non-NoRepo,non-Hyper,Filter
Predicting semantically linkable knowledge in developer online forums via convolutional neural network,ASE,2016,Technical,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,Prec,Recall,F1,Thousands,N/A-Tuning,N/A-OptMethod,Gradient Descent,Cosine Loss,Forum Analysis,N/A-Data,non-RepoMeta,non-I/O,non-Vision,non-Code,Natural,Neural Embedding,supervised,CNN,Increased Automation / Efficiency,non-Reprod,non-ExDe,non-Prep,LearningAlg,NoRepo,Hyper,Filter
Deep API Learning,FSE,2016,Technical,N/A-metrics,non-mrr,non-RocOrAUC,BLEU,non-Acc,non-Prec,non-Recall,non-F1,Millions,Opt. Method,Grid Search,Gradient Descent,Negative Log Likelihood,Source Code Generation,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,Natural,Tokenization,supervised,Encoder-Decoder,Increased Understanding of the Topic,non-Reprod,non-ExDe,Prep,non-LearningAlg,non-NoRepo,non-Hyper,non-Filter
A convolutional attention network for extreme summarization of source code,ICML,2016,Technical,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,non-Acc,non-Prec,non-Recall,F1,Tens,Opt. Method,Bayesian Opt,Gradient Descent,Max Log Likelihood,Code Summarization,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,Tokenization,supervised,CNN,Increased Automation / Efficiency,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,NoRepo,non-Hyper,Filter
Automatically Learning Semantic Features for Defect Prediction,ICSE,2016,Technical,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,non-Acc,Prec,Recall,F1,Thousands,Opt. Method,Random Search,Gradient Descent,Max Log Likelihood,Reliability/Defect Prediction,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,Tokenization,both,RBM,Advanced Architecture / Novelty,non-Reprod,non-ExDe,non-Prep,LearningAlg,non-NoRepo,non-Hyper,Filter
Latent attention for if-then program synthesis,NIPS,2016,Technical,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,N/A-Tuning,N/A-OptMethod,Gradient Descent,N/A-Loss,Program Synthesis,N/A-Data,non-RepoMeta,I/O,non-Vision,non-Code,non-Natural,Neural Embedding,supervised,RNN,Advanced Architecture / Novelty,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,NoRepo,non-Hyper,Filter
Applying Deep Learning Based Automatic Bug Triager to Industrial Projects,FSE,2017,Short Paper,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,N/A-Tuning,N/A-OptMethod,Gradient Descent,N/A-Loss,Bug-Fixing,Bug Report,non-RepoMeta,non-I/O,non-Vision,non-Code,non-Natural,Neural Embedding,supervised,CNN,Increased Automation / Efficiency,non-Reprod,ExDe,non-Prep,non-LearningAlg,NoRepo,Hyper,Filter
Automatic Text Input Generation for Mobile Testing,ICSE,2017,Journal Paper,metrics,non-mrr,non-RocOrAUC,non-BLEU,non-Acc,non-Prec,non-Recall,non-F1,Thousands,N/A-Tuning,N/A-OptMethod,Gradient Descent,N/A-Loss,Testing,N/A-Data,Repo Metadata,non-I/O,Vision,non-Code,non-Natural,Neural Embedding,supervised,RNN,Increased Automation / Efficiency,non-Reprod,non-ExDe,non-Prep,LearningAlg,non-NoRepo,Hyper,Filter
Automatically generating commit messages from diffs using neural machine translation,ASE,2017,Journal Paper,metrics,non-mrr,non-RocOrAUC,BLEU,non-Acc,non-Prec,non-Recall,non-F1,Thousands,N/A-Tuning,N/A-OptMethod,Gradient Descent,Cross-entropy,non-Code Related,N/A-Data,Repo Metadata,non-I/O,non-Vision,non-Code,Natural,Neural Embedding,supervised,Encoder-Decoder,Increased Automation / Efficiency,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,NoRepo,Hyper,non-Filter
